1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.660483	0.000000	21.002468	0.009339	73.6
1	-0.689236	0.000000	21.002468	0.006566	1.9
2	-0.708440	0.000000	21.002468	0.008880	1.9
3	-0.698180	0.000000	21.002468	0.009881	1.9
4	-0.708640	0.000000	21.002468	0.009948	1.9
5	-0.705476	0.000000	21.002468	0.011035	1.9
6	-0.707297	0.000000	21.002468	0.004176	2.0
7	-0.681304	0.000000	21.002468	0.013806	1.9
8	-0.704617	0.000000	21.002468	0.011612	1.9
9	-0.726732	0.000000	21.002468	0.011146	1.9
10	-0.690147	0.000000	21.002468	0.009066	1.9
11	-0.723119	0.000000	21.002468	0.004971	1.9
12	-0.729993	0.000000	21.002468	0.007076	2.0
13	-0.722443	0.000000	21.002468	0.010843	2.0
14	-0.723095	0.000000	21.002468	0.012391	2.0
15	-0.716589	0.000000	21.002468	0.010314	1.9
16	-0.710817	0.000000	21.002468	0.012331	1.9
17	-0.718590	0.000000	21.002468	0.005102	2.0
18	-0.727132	0.423999	20.586812	0.007022	2.1
19	-0.730615	0.000000	21.002468	0.011051	2.1
20	-0.756951	0.908352	20.131676	0.005989	2.2
21	-0.693506	0.344067	20.663908	0.006372	2.2
22	-0.702514	0.451966	20.559973	0.010413	2.2
23	-0.718854	0.000000	21.002468	0.005491	2.2
24	-0.753830	0.748057	20.280057	0.006647	2.3
25	-0.725111	1.438044	19.656429	0.003831	2.3
26	-0.704218	1.182105	19.883227	0.005192	2.3
27	-0.714523	1.172396	19.891934	0.004949	2.3
28	-0.729959	0.623700	20.396686	0.012259	2.3
29	-0.709480	1.140550	19.920546	0.010292	2.2
30	-0.676164	0.575596	20.442162	0.006014	2.3
31	-0.717583	0.010954	20.991519	0.008938	2.3
32	-0.716630	0.000000	21.002468	0.009787	2.2
33	-0.729129	0.000000	21.002468	0.008191	2.4
34	-0.702020	0.000000	21.002468	0.008103	2.1
35	-0.709749	0.983854	20.062535	0.002170	2.0
36	-0.746938	1.491460	19.609746	0.005145	2.1
37	-0.721189	1.594317	19.520477	0.008870	2.1
38	-0.702706	1.031808	20.018867	0.004497	2.0
39	-0.719481	0.681233	20.342562	0.009202	2.0
40	-0.715741	0.338123	20.669664	0.014068	2.0
